Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
investigation_good_end_a195b0c0		I gave up on sleep and walked around the school. I hoped to find a dry fantasy novel or something to quit feeling so restless.	game/content/chapter1/chapter_one.rpy	265	"[what]"
investigation_good_end_ab403a9c		But the computer lab was glowing. I thought no one was supposed to be in there. So why does it feel like, no, I know someone's in there.	game/content/chapter1/chapter_one.rpy	266	"[what]"
investigation_good_end_46c612dd		I tested the handle and it opened. There were rows of dead monitors. The room lacked the telltale hum of machinery. At the end of the room as light.	game/content/chapter1/chapter_one.rpy	267	"[what]"
investigation_good_end_d0f36bdb		I've seen too many horror movies to go blindly into strange places. I should just go to bed.	game/content/chapter1/chapter_one.rpy	270	"[what]"
investigation_good_end_0bc3b762		I used one of the old books to keep the door from closing behind me.	game/content/chapter1/chapter_one.rpy	275	"[what]"
investigation_good_end_eae145b0		The last thing I need is to get locked in a place I'm not supposed to be in.	game/content/chapter1/chapter_one.rpy	276	"[what]"
investigation_good_end_7e79322d		The further down I went, the brighter and more high tech things got. The basement level was a wide hall with rooms in glass boxes.	game/content/chapter1/chapter_one.rpy	277	"[what]"
investigation_good_end_17894ab8		It's too reminiscent of my dad's old lab. At the end of the hall, one cubical was lit up.	game/content/chapter1/chapter_one.rpy	278	"[what]"
investigation_good_end_4be28398		Under the florescent lights, the person inside looked gaunt and pale.	game/content/chapter1/chapter_one.rpy	279	"[what]"
investigation_good_end_07d84891	n	Mariko?	game/content/chapter1/chapter_one.rpy	281	n "[what]"
investigation_good_end_7c05cae2	m	.....	game/content/chapter1/chapter_one.rpy	283	m "[what]"
investigation_good_end_5bd51897		She turned away from me and turned out her light. The teachers just said she was in detention not that she'd been detained. What the hell is going on here?	game/content/chapter1/chapter_one.rpy	287	"[what]"
investigation_good_end_16b35ae0	m	Nagen!? What are you doing here? No one's supposed to be down here, especially S-T-U-D-E-N-T-Ss	game/content/chapter1/chapter_one.rpy	293	m "[what]"
investigation_good_end_d924b148	n	Then what are you doing here?	game/content/chapter1/chapter_one.rpy	295	n "[what]"
investigation_good_end_f8e97ae3		Something chirped in her room. She sat down on the floor, not wanting to look at me.	game/content/chapter1/chapter_one.rpy	297	"[what]"
investigation_good_end_386d329e	m	Apparently I'm sick, physically. Most people in my position wouldn't be able to stand, but I don't feel pain so… I'm on a week of strict bedrest.	game/content/chapter1/chapter_one.rpy	299	m "[what]"
investigation_good_end_b0bc58f3		That might have been what the beeping was, some kind of bed alarm.	game/content/chapter1/chapter_one.rpy	301	"[what]"
investigation_good_end_a6964adc	m	...Please don't tell anyone I'm here.	game/content/chapter1/chapter_one.rpy	303	m "[what]"
investigation_good_end_651e1241	n	Why?	game/content/chapter1/chapter_one.rpy	305	n "[what]"
investigation_good_end_e8a6d773	m	It's embarrassing! They have to watch me eat and…	game/content/chapter1/chapter_one.rpy	307	m "[what]"
investigation_good_end_9352219d		She sniffles	game/content/chapter1/chapter_one.rpy	309	"[what]"
