Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter1_day5_event_night_44971f7d	a	Hello, my lovelies. If you're seeing this, then that means my first champion failed. Well, I guess she's not much of a champion anymore, is she?	game/chapter_one_events.rpy	3136	"a ""[what]"""
chapter1_day5_event_night_f6d6cd66	a	It takes more than a kind heart to be a true hero, I suppose. We need more heroes; brilliant beacons that act as ideal examples of who we should be.	game/chapter_one_events.rpy	3137	"a ""[what]"""
chapter1_day5_event_night_c3297868	a	It feels like, somewhere along the way, we started to abandon those ideals in favor of more 'interesting' role models.	game/chapter_one_events.rpy	3138	"a ""[what]"""
chapter1_day5_event_night_115cf888	a	Well, look where that's gotten us. We've tolerated awful, toxic people for so long for the sake of entertainment.	game/chapter_one_events.rpy	3139	"a ""[what]"""
chapter1_day5_event_night_319faccb	a	Bad guys think they get to be heroes just because they tell us they are. Well, no more! I'm going to start over, with new heroes, better heroes.	game/chapter_one_events.rpy	3140	"a ""[what]"""
chapter1_day5_event_night_c6a21bad	a	Once they've proven to me they can face injustice head on, they will be welcomed as the true guardians of Valhalla.	game/chapter_one_events.rpy	3141	"a ""[what]"""
chapter1_day5_event_night_14a1909a	a	As for you... Well, if you truly regret the harm you've caused, you'll accept your punishment with dignity.	game/chapter_one_events.rpy	3142	"a ""[what]"""
chapter1_day5_event_night_34019ee8	a	Hello, my lovelies. Congratulations are in order.	game/chapter_one_events.rpy	3146	"a ""[what]"""
chapter1_day5_event_night_3b780030	a	After all, you brave young heroes just fought your first villain!	game/chapter_one_events.rpy	3147	"a ""[what]"""
chapter1_day5_event_night_e55b24ee	a	I should have known that broken thing was unsuited for the job. I do hope it was a little fun for you at least.	game/chapter_one_events.rpy	3148	"a ""[what]"""
chapter1_day5_event_night_903b0385	a	Think of her like a salad, a promissory note of more to come. With everyone so out of practice, it's only fair to start small.	game/chapter_one_events.rpy	3149	"a ""[what]"""
chapter1_day5_event_night_22b4fccc	a	How I long for the days when costumed heroes and villains could battle for dominance in broad daylight.	game/chapter_one_events.rpy	3150	"a ""[what]"""
chapter1_day5_event_night_3de78d22	a	All this sneaking around that has to be done now, just to keep others from intervening, it's demeaning to both of us.	game/chapter_one_events.rpy	3151	"a ""[what]"""
chapter1_day5_event_night_6dde3509	a	One day, there will be a place where real heroes receive the respect they deserve.	game/chapter_one_events.rpy	3152	"a ""[what]"""
chapter1_day5_event_night_ae896043	a	I wonder; will you ever be worthy of Valhalla, or will my champions steal your places in paradise?	game/chapter_one_events.rpy	3153	"a ""[what]"""
chapter1_day5_event_night_48b0f07e	a	After all, if you can't figure out how to entertain me, you're of no use to anyone.	game/chapter_one_events.rpy	3154	"a ""[what]"""
chapter1_day5_event_night_a8baf12b	a	For now, false heroes, I bid you adieu. ...oh, and Mariko, since you're watching this too.	game/chapter_one_events.rpy	3159	"a ""[what]"""
chapter1_day5_event_night_9957137d	a	Just know, there's a lot of people counting on you to fail.	game/chapter_one_events.rpy	3160	"a ""[what]"""
chapter1_day5_event_night_93ffb1c8	a	Au Revoir.	game/chapter_one_events.rpy	3161	"a ""[what]"""
ShomaInterrogation1_83cca2d4	Alexa	Setsuna the Bomb Digity is logged in.	game/chapter_one_investigation.rpy	1318	"Alexa ""[what]"""
chapter1_day1_event1_classes_vision_d501cbb2	ch	Maybe he is a fellow brood parasite.	game/chapter_one_events.rpy	896	"ch ""[what]"""
chapter1_day1_event1_classes_vision_1dc6f2d6	ch	What I mean is, maybe he has been lying about which major he belongs to.	game/chapter_one_events.rpy	906	"ch ""[what]"""
chapter1_day1_event1_classes_vision_3307c708	ch	And I thought my ability was intrusive, you poor thing.	game/chapter_one_events.rpy	912	"ch ""[what]"""
chapter1_day1_event1_classes_vision_4f5cd668	ch	I am not sure what I can do, but okay.	game/chapter_one_events.rpy	960	"ch ""[what]"""
chapter1_day1_event1_classes_vision_82450e51	ch	I, uh- Who is we?	game/chapter_one_events.rpy	968	"ch ""[what]"""
chapter1_day1_event1_classes_vision_1c3e982e	ch	Umm... Okay then.	game/chapter_one_events.rpy	974	"ch ""[what]"""
chapter1_day1_event1_classes_vision_91f31642	ch	Umm... is this going to be appropriate for class?	game/chapter_one_events.rpy	992	"ch ""[what]"""
chapter1_day1_event1_classes_vision_bebfebf0	ch	That was unnecessary and you know it.	game/chapter_one_events.rpy	1017	"ch ""[what]"""
chapter1_day1_event2_55a21504	ch	Violence begets more violence.	game/chapter_one_events.rpy	1192	"ch ""[what]"""
chapter1_day1_event2_66e595f5	ch	Demanding retribution will only further the cycle, no matter how deserved.	game/chapter_one_events.rpy	1193	"ch ""[what]"""
chapter1_day1_event2_334896b5	ch	Deliverance should only have been provided to the ones it was owed.	game/chapter_one_events.rpy	1194	"ch ""[what]"""
chapter1_day4_event2_36463a3c	ch	Hark, deceiver!	game/chapter_one_events.rpy	2507	"ch ""[what]"""
chapter1_day4_event2_045e57e1	ch	You promised a fair duel.	game/chapter_one_events.rpy	2511	"ch ""[what]"""
chapter1_day4_event2_c1b536c2	ch	I thought such trickery was beneath you.	game/chapter_one_events.rpy	2512	"ch ""[what]"""
chapter1_day4_event2_c473d7da	ch	Please do not.	game/chapter_one_events.rpy	2564	"ch ""[what]"""
chapter1_day4_event2_4ca52b89	ch	I said stop!	game/chapter_one_events.rpy	2578	"ch ""[what]"""
chapter1_day4_event2_b0f38aee	ch	Our time here should not be defined by our scars or misplaced guilt.	game/chapter_one_events.rpy	2588	"ch ""[what]"""
chapter1_day4_event2_41384641	ch	And if I hear you trying to use other people's lives as a weapon in an argument, I-	game/chapter_one_events.rpy	2589	"ch ""[what]"""
chapter1_day4_event2_21d5b475	ch	Well I do not know what I can do, but I will most certainly sever my connection to you.	game/chapter_one_events.rpy	2590	"ch ""[what]"""
chapter1_day4_event2_6bc2f40f	ch	You do not have to ask just because you feel sorry for me.	game/chapter_one_events.rpy	2608	"ch ""[what]"""
chapter1_day4_event2_39be0ffd	ch	No, a drama club.	game/chapter_one_events.rpy	2620	"ch ""[what]"""
chapter1_day4_event2_b7643c8f	ch	We do not have a set meeting time yet, but I would like to accommodate everyone's schedule if I can.	game/chapter_one_events.rpy	2633	"ch ""[what]"""
ChiseiInv1_7c973fd5	ch	I suppose.	game/chapter_one_investigation.rpy	1104	"ch ""[what]"""
ChiseiInv1_2e268619	ch	Do I look that silly?	game/chapter_one_investigation.rpy	1105	"ch ""[what]"""
ChiseiInv1_1efa5eb5	ch	A line, please. I need the size of the stage.	game/chapter_one_investigation.rpy	1112	"ch ""[what]"""
ChiseiInv1_7079d98b	ch	If we have enough members, the drama club can put on plays.	game/chapter_one_investigation.rpy	1116	"ch ""[what]"""
ChiseiInv1_201e2925	ch	I want to know what space I have to work with.	game/chapter_one_investigation.rpy	1117	"ch ""[what]"""
ChiseiInv1_fac596a2	ch	The plans are 'around here somewhere'.	game/chapter_one_investigation.rpy	1121	"ch ""[what]"""
ChiseiInv1_990f386d	ch	I can measure it all myself before Mr. Inukai can hunt it down...	game/chapter_one_investigation.rpy	1122	"ch ""[what]"""
ChiseiInv1_a27bf719	ch	You can laugh. I know I am slow.	game/chapter_one_investigation.rpy	1123	"ch ""[what]"""
ChiseiInv1_0d2dcb3e	ch	What is it?	game/chapter_one_investigation.rpy	1127	"ch ""[what]"""
ChiseiInterrogation1_300b40f7	ch	I wanted to find some potential plays for the drama club before drafting the recruitment announcement.	game/chapter_one_investigation.rpy	1137	"ch ""[what]"""
ChiseiInterrogation1_2b56183c	ch	So that night, I went to look around the shelves on the first floor.	game/chapter_one_investigation.rpy	1138	"ch ""[what]"""
ChiseiInterrogation1_87fef4cd	ch	However, I got scared and did not find anything in time.	game/chapter_one_investigation.rpy	1139	"ch ""[what]"""
ChiseiInterrogation1_a0ecbc79	ch	Exactly! The lack of artificial light at night is welcoming to the stars, but it shrouds the interior in shadows.	game/chapter_one_investigation.rpy	1143	"ch ""[what]"""
ChiseiInterrogation1_7ad54c93	ch	Confronting sirens, armed only with a flashlight, I felt my heart stop for a second.	game/chapter_one_investigation.rpy	1144	"ch ""[what]"""
ChiseiInterrogation1_b27574ca	ch	A loud series of noises, around the lockers, I think.	game/chapter_one_investigation.rpy	1148	"ch ""[what]"""
ChiseiInterrogation1_4cebf48f	ch	I did not pursue the matter further.	game/chapter_one_investigation.rpy	1149	"ch ""[what]"""
ChiseiInterrogation1_d0a6356d	ch	Though seeing as I have not gotten in trouble for wandering the grounds at night, I do not think it was something I triggered.	game/chapter_one_investigation.rpy	1150	"ch ""[what]"""
ChiseiInterrogation1_f7945555	ch	Thankfully, no. A number of our peers find such noises upsetting.	game/chapter_one_investigation.rpy	1156	"ch ""[what]"""
ChiseiInterrogation1_ada97dd4	ch	I am glad Ms. Yamamoto is a patron of the arts.	game/chapter_one_investigation.rpy	1167	"ch ""[what]"""
ChiseiInterrogation1_050c72da	ch	Without her support, I would not have been granted approval for the drama club.	game/chapter_one_investigation.rpy	1168	"ch ""[what]"""
ChiseiInterrogation1_06d0c014	ch	Now it is just a matter of gathering members.	game/chapter_one_investigation.rpy	1169	"ch ""[what]"""
ChiseiInterrogation1_12738980	ch	No, I had to sign out a key from the student council.	game/chapter_one_investigation.rpy	1173	"ch ""[what]"""
ChiseiInterrogation1_f7040a7d	ch	I managed to get my ad in after Momoko, but before the head cheerleader.	game/chapter_one_investigation.rpy	1174	"ch ""[what]"""
ChiseiInterrogation1_9b78ea62	ch	I did not think to check, I am sorry.	game/chapter_one_investigation.rpy	1178	"ch ""[what]"""
ChiseiInterrogation1_23ecb721	ch	.....	game/chapter_one_investigation.rpy	1185	"ch ""[what]"""
ChiseiInterrogation1_3daffa60	ch	This is your first time coming to this building, right?	game/chapter_one_investigation.rpy	1189	"ch ""[what]"""
ChiseiInterrogation1_668366f8	ch	You and your friends did not come here before it was a school, did you?	game/chapter_one_investigation.rpy	1190	"ch ""[what]"""
ChiseiInterrogation1_2215aaa4	ch	I thought if I was far enough from civilization, I would stop getting messages.	game/chapter_one_investigation.rpy	1196	"ch ""[what]"""
ChiseiInterrogation1_922ff4c2	ch	They are not as frequent, but today...	game/chapter_one_investigation.rpy	1197	"ch ""[what]"""
ChiseiInterrogation1_4b02b268	ch	There is something still trying to use me.	game/chapter_one_investigation.rpy	1198	"ch ""[what]"""
ChiseiInterrogation1_6a85f92c	ch	I was hoping it was not something that followed me here.	game/chapter_one_investigation.rpy	1199	"ch ""[what]"""
ChiseiInterrogation1_23ecb721_1	ch	.....	game/chapter_one_investigation.rpy	1203	"ch ""[what]"""
ChiseiInterrogation1_5ba28983	ch	Attack the crowd and be thrown to the lions.	game/chapter_one_investigation.rpy	1204	"ch ""[what]"""
ChiseiInterrogation1_35969e2d	ch	I cannot find any record of it anywhere.	game/chapter_one_investigation.rpy	1208	"ch ""[what]"""
ChiseiInterrogation1_37175f10	ch	The closest thing that comes up is 'Damnatio ad bestias'; death by beasts.	game/chapter_one_investigation.rpy	1209	"ch ""[what]"""
ChiseiInterrogation1_57224e80	ch	It was used as a punishment for instigators of rebellion.	game/chapter_one_investigation.rpy	1210	"ch ""[what]"""
ChiseiInterrogation1_8a3b2d9e	ch	I hope it is nothing. I never know what to do with anonymous messages, especially cryptic ones.	game/chapter_one_investigation.rpy	1214	"ch ""[what]"""
ChiseiInterrogation1_98915c1b	ch	All it does is bum people out, but then I wonder if I have a moral obligation to share?	game/chapter_one_investigation.rpy	1215	"ch ""[what]"""
ChiseiInterrogation1_74bd6dc2	ch	No. I have no clue who these words come from.	game/chapter_one_investigation.rpy	1219	"ch ""[what]"""
ChiseiInterrogation1_0fc383fb	ch	Y-yeah.	game/chapter_one_investigation.rpy	1224	"ch ""[what]"""
